prec_no,block_no,name
71,1604,海陽
73,0742,獅子越峠
87,47829,都城
61,1303,美山
44,1642,大島臨時
31,0171,毛無山
11,1051,中頓別
17,0072,生田原
31,47581,八戸
44,0371,羽田
51,0460,一宮
74,0955,田野
40,0318,笠間
64,0637,山上ケ岳
31,1183,七戸
12,1049,層雲峡
31,0172,十和田
83,0931,院内
15,0043,芦別
57,1565,武生
17,0068,常呂
65,0649,新宮
91,1534,北原
15,0050,登川山
33,47584,盛岡
34,1597,栗駒深山
57,0974,美山
20,1210,上札内
33,0230,北上
20,0103,ぬかびら源泉郷
20,1410,上螺湾
17,1487,紋別小向
23,0146,大沼
69,1304,茶屋
63,1448,淡路町
87,0870,鰐塚山
13,47406,留萌
81,0767,徳佐
48,1162,鬼無里
65,0647,御坊
23,00,渡島地方全地点
33,1447,区界
73,1260,富郷
54,0516,鷲ケ巣山
84,0820,諫早
54,1102,鍵取
45,1236,船橋
33,1557,大東
50,0450,霧山
12,,上川地方
63,47776,洲本
44,1134,新島
49,1234,切石
88,0897,中種子
44,1509,三宅島阿古
36,0310,平
54,47602,相川
81,0941,周東
17,0076,斜里
21,1496,豊浦
88,0894,甫与志岳
87,1481,赤江
50,0456,松崎
86,1613,山都
62,0600,能勢
49,1165,上野原
66,0653,大空山
54,1444,室谷
86,1580,宇土
32,1050,大正寺
31,0166,弘前
14,47412,札幌
84,0819,五家原岳
66,,岡山県
91,47936,那覇
41,1015,五十里
63,0622,名塩
52,1059,上石津
71,1358,旭丸
33,0235,若柳
67,0947,高野
41,0339,足利
14,1459,千歳
67,0679,上下
63,1588,西宮
54,1424,樽本
84,1670,脇岬
41,00,栃木県全地点
14,1507,江別
60,47761,彦根
52,1058,多治見
68,0705,聖山
84,1451,百花台
33,0212,袖山
17,0063,興部
52,00,岐阜県全地点
65,47777,和歌山
36,0299,郡山
91,1494,志多阿原
91,00,沖縄県全地点
17,0069,遠軽
66,0659,天子山
33,1219,山形
71,,徳島県
11,00,宗谷地方全地点
49,47638,甲府
19,1107,二俣
67,47765,広島
86,0925,多良木
15,1674,秩父別
61,,京都府
67,00,広島県全地点
87,1663,田野
61,1160,睦寄
48,0992,菅平
53,1423,御浜
14,1085,石狩
61,1383,三和
40,1014,龍ケ崎
36,0282,稲荷峠
55,1413,平
45,0378,成田
51,1341,鳳来
53,0510,粥見
64,1649,下北山
41,47690,奥日光（日光）
53,47663,尾鷲
34,1632,岩沼
74,1351,本川
35,0262,金山
55,1415,細入
91,47940,名護
22,1202,日高
74,1249,後免
11,1656,礼文上泊埼
36,0304,小野新町
64,0631,田原本
48,1319,辰野
82,0781,小倉
88,1655,小宝島
12,0009,西風連
35,1291,飛島
45,0382,木更津
48,1550,白樺湖
48,0417,木曽福島
43,,埼玉県
57,0573,大野
43,0362,飯能
42,1019,みなかみ
54,1369,三面
23,1416,蛾眉野
54,0520,二王子岳
17,1420,丸瀬布
18,0088,別海
87,0860,加久藤
12,0018,終沢
69,0709,青谷
36,0285,相馬
15,1566,赤平
52,0483,萩原
60,1083,南小松
52,47617,高山
52,,岐阜県
48,0393,野沢温泉
49,1024,韮崎
55,0559,谷折
68,1176,匹見
86,00,熊本県全地点
17,1092,白滝
36,0300,富岡
57,1010,美浜
20,0119,帯広岳
12,1185,志比内
18,,根室地方
64,1439,吉野
51,0472,田原
63,47769,姫路
13,1218,幌糠
33,0221,雫石
60,47751,伊吹山
65,47778,潮岬
34,1626,女川
36,0295,浪江
88,47827,鹿児島
91,1515,粟国
23,1552,知内
12,0012,犬牛別峠
20,0111,三角山
42,1223,神流
43,1497,ときがわ
11,1207,船泊
81,1614,鹿野
91,1373,本部
48,0419,入笠山
51,0984,南知多
51,1346,愛西
16,47433,倶知安
15,0999,月形
81,00,山口県全地点
56,0560,珠洲
11,1573,幌延
21,1499,虻田
53,0500,桑名
16,0054,共和
51,1166,小原
43,1069,鴻巣
51,0465,東海
31,1559,湯野川
36,47570,若松
91,1484,真栄里
83,47814,日田
68,0954,佐田
20,0113,新得
45,0383,鋸南
32,1407,笹子
33,0208,折爪岳
82,0790,久留米
34,0248,大衡
63,0607,香住
13,0028,増毛
51,47636,名古屋
16,0052,余市
35,0278,高峰
85,1616,北山
32,0187,森吉山
68,0707,津和野
67,0681,世羅
12,47407,旭川
91,0909,糸数
68,0694,斐川
31,0168,八甲田山
36,0287,八木沢
21,1500,壮瞥
71,0719,大山寺
74,0754,船戸
21,1429,カルルス
32,0194,田沢湖
69,0717,古峠山
52,1066,宮地
21,1503,北有珠
48,1591,宮田
17,0981,宇登呂
51,0470,豊橋
35,1664,酒田大沢
31,1272,戸来
68,1321,弥栄
48,0402,上田
22,1288,中杵臼
86,0840,高森
74,0921,梼原
31,1124,脇野沢
22,1430,旭
33,0238,一関
84,1538,美津島
44,0370,江戸川臨海
61,0595,妙高山
84,0815,国見山
32,,秋田県
41,0327,黒田原
31,1110,長慶平
12,0015,上川
13,1217,達布
23,0917,木古内
19,0098,白糠
63,0625,明石
83,0794,中津
55,0549,嘉例沢
20,0106,西ヌプカウシ山
36,1269,舘岩
62,0601,箕面
83,1137,国見
48,0416,御嶽山
57,1226,勝山
17,00,網走・北見・紋別地方全地点
46,1008,小田原
32,0184,鷹巣
53,1356,白山
41,0341,小山
43,1009,寄居
84,1478,石田
86,1156,屋形山
54,1315,弾崎
33,1032,好摩
31,00,青森県全地点
48,1323,南信濃
44,1523,神津島
11,47401,稚内
36,0283,吾妻山
18,1056,納沙布
86,1581,一勝地
83,0805,犬飼
51,1576,阿蔵
20,0109,足寄
36,1282,桧原
32,00,秋田県全地点
87,0864,野尻
88,1647,宝島
40,0316,大子
56,1650,舳倉島
67,0686,竹原
83,0801,佐賀関
32,0204,湯の岱
86,0844,大金峰
49,0435,八町山
74,00,高知県全地点
86,0923,益城
20,0110,佐幌岳
83,00,大分県全地点
68,1095,伯太
54,0521,新津
53,,三重県
87,1623,高原
45,47672,館山
20,0114,鹿追
18,0084,羅臼
20,0120,ひょうたん沢
87,1432,北方
33,0205,種市
84,47805,平戸
32,0195,大曲
87,0863,小林
50,0440,白糸
85,0824,枝去木
52,1305,六厩
32,0191,太平山
55,0546,朝日
85,,佐賀県
33,1225,門馬
51,0469,一色
31,0158,障子山
61,0927,知井
36,47598,小名浜
19,0092,弟子屈
56,1545,宝達志水
23,1265,千軒
40,0320,古河
50,0987,土肥
49,47639,富士山
